Postcode,Latitude,Longitude
B36 0,52.5025,-1.75549
B36 8,52.5038,-1.80977
B36 9,52.5079,-1.77269
B37 5,52.4784,-1.74882
B37 6,52.4881,-1.7438
B37 7,52.4717,-1.73607
B37 9,52.4803,-1.7409
B38 0,52.3967,-1.91312
B38 8,52.404,-1.9422
B38 9,52.3992,-1.93142
B40 1,52.4586,-1.72444
B42 1,52.5306,-1.91429
B42 2,52.5352,-1.90642
B42 9,52.5401,-1.88744
B43 5,52.5391,-1.93899
B43 6,52.5465,-1.93612
B43 7,52.5561,-1.91222
B44 0,52.5453,-1.87564
B44 8,52.5385,-1.89117
B44 9,52.5513,-1.89092
B45 0,52.4043,-2.01556
B45 5,52.3859,-2.00291
B45 8,52.3779,-1.99914
B45 9,52.3934,-2.01679
B46 1,52.51,-1.72
B46 2,52.5165,-1.65781
B46 3,52.4923,-1.70581
B46 9,52.4981,-1.70579
B47 5,52.3941,-1.88062
B47 6,52.381,-1.88199
B48 7,52.3569,-1.95165
B49 5,52.2155,-1.88443
B49 6,52.219,-1.85264
B49 9,52.214,-1.87009
B50 4,52.17,-1.85643
B50 9,,
B60 1,52.3473,-2.03353
B60 2,52.3287,-2.05123
B60 3,52.32,-2.05798
B60 4,52.2969,-2.06881
B60 5,,
B60 9,52.326,-2.05478
B61 0,52.3553,-2.05492
B61 7,52.3263,-2.07326
B61 8,52.3391,-2.06564
B61 9,52.3507,-2.08917
B62 0,52.4369,-2.04008
B62 2,52.4689,-2.04583
B62 8,52.4617,-2.03934
B62 9,52.4677,-2.02612
B63 1,52.4431,-2.07591
B63 2,52.4604,-2.08492
B63 3,52.4549,-2.05259
B63 4,52.448,-2.061
B64 5,52.4765,-2.07338
B64 6,52.473,-2.06542
B64 7,52.4673,-2.06775
B65 0,52.4775,-2.03709
B65 8,52.4855,-2.05501
B65 9,52.4862,-2.03998
B66 1,52.5014,-1.98258
B66 2,52.4977,-1.95844
B66 3,52.4921,-1.96008
B66 4,52.4834,-1.96365
B67 5,52.478,-1.97732
B67 6,52.4869,-1.97841
B67 7,52.4946,-1.97912
B67 9,52.4952,-1.97185
B68 0,52.4697,-2.00174
B68 8,52.4875,-2.00764
B68 9,52.4829,-1.99666
B69 1,52.5003,-2.04044
B69 2,52.5063,-2.03207
B69 3,52.5106,-2.02597
B69 4,52.4978,-2.01194
B69 9,52.5042,-2.01089
B70 0,52.5327,-2.01864
B70 1,52.515,-1.99626
B70 6,52.5128,-1.98563
B70 7,52.5141,-1.99672
B70 8,52.518,-2.00131
B70 9,52.5212,-2.01105
B71 1,52.5309,-1.99635
B71 2,52.5401,-2.00033
B71 3,52.5418,-1.97926
B71 4,52.521,-1.98189
B72 1,52.5545,-1.82364
B73 5,52.5487,-1.83822
B73 6,52.5591,-1.84686
B73 9,52.5689,-1.82972
B74 2,52.5738,-1.85282
B74 3,52.583,-1.87657
B74 4,52.5905,-1.84328
B75 5,52.5901,-1.81761
B75 6,52.5771,-1.81277
B75 7,52.5652,-1.80285
B76 0,52.5448,-1.70494
B76 1,52.5451,-1.80241
B76 2,52.5534,-1.79842
B76 8,52.5424,-1.79612
B76 9,52.5405,-1.75874
B77 1,52.6108,-1.68493
B77 2,52.6214,-1.67242
B77 3,52.6332,-1.6702
B77 4,52.6225,-1.65432
B77 5,52.6059,-1.66594
B77 9,52.6286,-1.686
B78 1,52.6124,-1.6197
B78 2,52.5736,-1.6912
B78 3,52.6197,-1.71339
B79 0,52.6564,-1.61392
B79 7,52.6355,-1.70007
B79 8,52.6439,-1.6975
B79 9,52.6828,-1.69107
B80 7,52.279,-1.89746
B90 1,52.3957,-1.84657
B90 2,52.406,-1.83419
B90 3,52.4117,-1.82189
B90 4,52.3943,-1.80931
B90 8,52.3777,-1.8025
B90 9,52.4081,-1.82589
B91 1,52.4159,-1.7969
B91 2,52.4208,-1.77234
B91 3,52.4075,-1.78016
B91 9,52.4135,-1.7754
B92 0,52.4241,-1.72342
B92 7,52.4385,-1.80257
B92 8,52.4395,-1.78807
B92 9,52.4365,-1.76936
B93 0,52.3795,-1.72616
B93 3,52.3889,-1.73654
B93 8,52.3767,-1.75327
B93 9,52.3896,-1.74586
B94 5,52.3478,-1.81682
B94 6,52.3577,-1.76765
B95 5,52.2978,-1.78145
B95 6,52.2624,-1.77844
B95 8,52.294,-1.78106
B96 6,52.2549,-1.95942
B97 4,52.3043,-1.94618
B97 5,52.29,-1.95631
B97 6,52.3116,-1.95663
B97 9,52.3107,-1.93772
B98 0,52.3008,-1.90027
B98 7,52.2944,-1.92873
B98 8,52.3102,-1.92749
B98 9,52.3183,-1.90258
B99 1,52.4959,-1.89425
BA1 0,51.3792,-2.35596
BA1 1,51.3806,-2.35985
BA1 2,51.3846,-2.3645
BA1 3,51.3857,-2.38605
BA1 4,51.3968,-2.38992
BA1 5,51.3889,-2.36078
BA1 6,51.3938,-2.35149
BA1 7,51.4014,-2.32097
BA1 8,51.4128,-2.34202
BA1 9,51.4082,-2.39089
BA2 0,51.3324,-2.47076
BA2 1,51.3764,-2.39268
BA2 2,51.3651,-2.37864
BA2 3,51.3783,-2.37324
BA2 4,51.378,-2.35645
BA2 5,51.3622,-2.35589
BA2 6,51.3845,-2.34289
BA2 7,51.3427,-2.32673
BA2 8,51.3236,-2.41015
BA2 9,51.3733,-2.43274
BA3 1,51.3305,-2.47384
BA3 2,51.2909,-2.47887
BA3 3,51.2922,-2.44933
BA3 4,51.2691,-2.51197
BA3 5,51.2535,-2.45333
BA3 6,51.308,-2.30464
BA3 9,51.2915,-2.44678
BA4 4,51.1811,-2.53133
BA4 5,51.1894,-2.54883
BA4 6,51.1429,-2.51133
BA4 9,51.1891,-2.54719
BA5 1,51.2097,-2.67863
BA5 2,51.2097,-2.65206
BA5 3,51.2176,-2.62586
BA5 9,51.2064,-2.65366
BA6 0,51.1489,-2.71536
BA6 8,51.1331,-2.68957
BA6 9,51.1527,-2.72878
BA7 7,51.0892,-2.51822
BA8 0,51.0003,-2.41087
BA9 0,51.0574,-2.40992
BA9 8,51.0646,-2.42123
BA9 9,51.0542,-2.40448
BA10 0,51.1122,-2.44729
BA11 1,51.2325,-2.32192
BA11 2,51.2463,-2.31268
BA11 3,51.2401,-2.3541
BA11 4,51.2267,-2.34312
BA11 5,51.2188,-2.32321
BA11 6,51.2739,-2.28854
BA11 9,51.2343,-2.3339
BA12 0,51.1779,-2.0847
BA12 2,51.2044,-2.1783
BA12 6,51.1,-2.27794
BA12 7,51.18,-2.21721
BA12 8,51.2016,-2.19248
BA12 9,51.2003,-2.17356
BA13 2,51.263,-2.19709
BA13 3,51.2598,-2.19035
BA13 4,51.2665,-2.17522
BA13 9,51.2703,-2.20598
BA14 0,51.3087,-2.21158
BA14 4,51.3171,-2.20692
BA14 6,51.3289,-2.16825
BA14 7,51.3238,-2.19423
BA14 8,51.324,-2.20768
BA14 9,51.3107,-2.22874
BA15 1,51.3472,-2.25557
BA15 2,51.3526,-2.2753
BA15 5,51.3364,-2.25113
BA16 0,51.1256,-2.7388
BA16 9,51.1302,-2.75933
BA20 1,50.9411,-2.63392
BA20 2,50.9363,-2.65199
BA20 9,50.9414,-2.63965
BA21 3,50.9509,-2.65505
BA21 4,50.9487,-2.62839
BA21 5,50.9531,-2.61467
BA22 7,51.0319,-2.55893
BA22 8,50.9745,-2.66342
BA22 9,50.9107,-2.66559
BB0 1,53.7534,-2.46423
BB1 1,53.7446,-2.46751
BB1 2,53.7359,-2.44848
BB1 3,53.7504,-2.45659
BB1 4,53.7674,-2.4216
BB1 5,53.7567,-2.46833
BB1 6,53.7537,-2.47716
BB1 7,53.7513,-2.48385
BB1 8,53.7593,-2.48657
BB1 9,53.777,-2.47932
BB2 1,53.7465,-2.49324
BB2 2,53.7416,-2.49487
BB2 3,53.7351,-2.47847
BB2 4,53.7297,-2.49824
BB2 5,53.7284,-2.52531
BB2 6,53.7496,-2.50483
